time_id,timestamp,date,hour,weekday,is_weekend
1,1544952607.89,2018-12-16,9,Sunday,True
2,1543284023.677,2018-11-27,2,Tuesday,False
3,1543366822.198,2018-11-28,1,Wednesday,False
4,1543553582.749,2018-11-30,4,Friday,False
5,1543463360.223,2018-11-29,3,Thursday,False
6,1545071112.138,2018-12-17,18,Monday,False
7,1543208580.2,2018-11-26,5,Monday,False
8,1543780384.677,2018-12-02,19,Sunday,True
9,1543818482.645,2018-12-03,6,Monday,False
10,1543315522.249,2018-11-27,10,Tuesday,False
11,1543594383.882,2018-11-30,16,Friday,False
12,1543432987.778,2018-11-28,19,Wednesday,False
13,1543615981.179,2018-11-30,22,Friday,False
14,1544698211.014,2018-12-13,10,Thursday,False
15,1544728503.935,2018-12-13,19,Thursday,False
16,1545004511.43,2018-12-16,23,Sunday,True
17,1544748007.961,2018-12-14,0,Friday,False
18,1543519080.802,2018-11-29,19,Thursday,False
19,1543673584.211,2018-12-01,14,Saturday,True
20,1544940911.553,2018-12-16,6,Sunday,True
21,1543346302.541,2018-11-27,19,Tuesday,False
22,1545132905.654,2018-12-18,11,Tuesday,False
23,1543544884.042,2018-11-30,2,Friday,False
24,1544978406.463,2018-12-16,16,Sunday,True
25,1543218371.798,2018-11-26,7,Monday,False
26,1545079209.832,2018-12-17,20,Monday,False
27,1544931613.778,2018-12-16,3,Sunday,True
28,1544982903.563,2018-12-16,17,Sunday,True
29,1543324882.052,2018-11-27,13,Tuesday,False
30,1544697611.531,2018-12-13,10,Thursday,False
31,1545085512.519,2018-12-17,22,Monday,False
32,1544817908.118,2018-12-14,20,Friday,False
33,1543794776.318,2018-12-02,23,Sunday,True
34,1543289422.292,2018-11-27,3,Tuesday,False
35,1543774987.499,2018-12-02,18,Sunday,True
36,1544816705.598,2018-12-14,19,Friday,False
37,1543743182.105,2018-12-02,9,Sunday,True
38,1544747410.816,2018-12-14,0,Friday,False
39,1543638777.654,2018-12-01,4,Saturday,True
40,1543414987.719,2018-11-28,14,Wednesday,False
41,1543739576.844,2018-12-02,8,Sunday,True
42,1543523885.298,2018-11-29,20,Thursday,False
43,1544789105.468,2018-12-14,12,Friday,False
44,1543286002.09,2018-11-27,2,Tuesday,False
45,1544856310.163,2018-12-15,6,Saturday,True
46,1543400227.398,2018-11-28,10,Wednesday,False
47,1544963414.097,2018-12-16,12,Sunday,True
48,1544920811.287,2018-12-16,0,Sunday,True
49,1544883309.32,2018-12-15,14,Saturday,True
50,1543312822.029,2018-11-27,10,Tuesday,False
51,1543421288.0,2018-11-28,16,Wednesday,False
52,1543666982.457,2018-12-01,12,Saturday,True
53,1543243090.567,2018-11-26,14,Monday,False
54,1543718284.659,2018-12-02,2,Sunday,True
55,1543514583.808,2018-11-29,18,Thursday,False
56,1543823577.493,2018-12-03,7,Monday,False
57,1543236069.468,2018-11-26,12,Monday,False
58,1543807082.043,2018-12-03,3,Monday,False
59,1543446220.644,2018-11-28,23,Wednesday,False
60,1543282941.895,2018-11-27,1,Tuesday,False
61,1543852985.839,2018-12-03,16,Monday,False
62,1544731816.318,2018-12-13,20,Thursday,False
63,1544688606.983,2018-12-13,8,Thursday,False
64,1543445408.141,2018-11-28,22,Wednesday,False
65,1544859906.968,2018-12-15,7,Saturday,True
66,1543325422.263,2018-11-27,13,Tuesday,False
67,1543428487.883,2018-11-28,18,Wednesday,False
68,1543474677.639,2018-11-29,6,Thursday,False
69,1545130211.033,2018-12-18,10,Tuesday,False
70,1543286541.956,2018-11-27,2,Tuesday,False
71,1543583283.653,2018-11-30,13,Friday,False
72,1543831981.297,2018-12-03,10,Monday,False
73,1543820582.501,2018-12-03,7,Monday,False
74,1543603386.099,2018-11-30,18,Friday,False
75,1543786383.705,2018-12-02,21,Sunday,True
76,1545036606.996,2018-12-17,8,Monday,False
77,1543410387.439,2018-11-28,13,Wednesday,False
78,1543784280.319,2018-12-02,20,Sunday,True
79,1544879104.96,2018-12-15,13,Saturday,True
80,1543478885.039,2018-11-29,8,Thursday,False
81,1543360883.633,2018-11-27,23,Tuesday,False
82,1545002712.654,2018-12-16,23,Sunday,True
83,1544685910.496,2018-12-13,7,Thursday,False
84,1544703016.07,2018-12-13,12,Thursday,False
85,1543775279.908,2018-12-02,18,Sunday,True
86,1545081006.772,2018-12-17,21,Monday,False
87,1543542780.768,2018-11-30,1,Friday,False
88,1543588980.832,2018-11-30,14,Friday,False
89,1544684707.241,2018-12-13,7,Thursday,False
90,1544832605.2,2018-12-15,0,Saturday,True
91,1543532587.413,2018-11-29,23,Thursday,False
92,1545036611.905,2018-12-17,8,Monday,False
93,1543542476.058,2018-11-30,1,Friday,False
94,1545134405.195,2018-12-18,12,Tuesday,False
95,1543398374.702,2018-11-28,9,Wednesday,False
96,1543280961.891,2018-11-27,1,Tuesday,False
97,1544812509.357,2018-12-14,18,Friday,False
98,1544952912.418,2018-12-16,9,Sunday,True
99,1545102903.559,2018-12-18,3,Tuesday,False
100,1543440907.964,2018-11-28,21,Wednesday,False
101,1543443967.576,2018-11-28,22,Wednesday,False
102,1543321642.195,2018-11-27,12,Tuesday,False
103,1543860176.1,2018-12-03,18,Monday,False
104,1543658284.716,2018-12-01,9,Saturday,True
105,1543458860.117,2018-11-29,2,Thursday,False
106,1543824176.271,2018-12-03,8,Monday,False
107,1543336943.649,2018-11-27,16,Tuesday,False
108,1543883878.694,2018-12-04,0,Tuesday,False
109,1545126008.048,2018-12-18,9,Tuesday,False
110,1544841003.919,2018-12-15,2,Saturday,True
111,1543243809.625,2018-11-26,14,Monday,False
112,1544711408.474,2018-12-13,14,Thursday,False
113,1544409662.798,2018-12-10,2,Monday,False
114,1543734183.117,2018-12-02,7,Sunday,True
115,1543873079.177,2018-12-03,21,Monday,False
116,1543805278.271,2018-12-03,2,Monday,False
117,1544682006.887,2018-12-13,6,Thursday,False
118,1543777077.631,2018-12-02,18,Sunday,True
119,1544730311.763,2018-12-13,19,Thursday,False
120,1543655883.575,2018-12-01,9,Saturday,True
121,1543508885.573,2018-11-29,16,Thursday,False
122,1543437308.356,2018-11-28,20,Wednesday,False
123,1545034211.003,2018-12-17,8,Monday,False
124,1543281863.593,2018-11-27,1,Tuesday,False
125,1544975706.996,2018-12-16,15,Sunday,True
126,1543796886.448,2018-12-03,0,Monday,False
127,1543405886.396,2018-11-28,11,Wednesday,False
128,1543411388.309,2018-11-28,13,Wednesday,False
129,1543664582.72,2018-12-01,11,Saturday,True
130,1543318763.658,2018-11-27,11,Tuesday,False
131,1543417148.057,2018-11-28,14,Wednesday,False
132,1543849385.018,2018-12-03,15,Monday,False
133,1543366282.172,2018-11-28,0,Wednesday,False
134,1543423987.919,2018-11-28,16,Wednesday,False
135,1543668183.159,2018-12-01,12,Saturday,True
136,1543691580.08,2018-12-01,19,Saturday,True
137,1545156008.342,2018-12-18,18,Tuesday,False
138,1543233909.659,2018-11-26,12,Monday,False
139,1543443221.881,2018-11-28,22,Wednesday,False
140,1543795980.646,2018-12-03,0,Monday,False
141,1543487882.81,2018-11-29,10,Thursday,False
142,1543783081.168,2018-12-02,20,Sunday,True
143,1544783703.771,2018-12-14,10,Friday,False
144,1545078016.001,2018-12-17,20,Monday,False
145,1544898910.112,2018-12-15,18,Saturday,True
146,1543444719.063,2018-11-28,22,Wednesday,False
147,1543428849.389,2018-11-28,18,Wednesday,False
148,1543236429.575,2018-11-26,12,Monday,False
149,1544784303.61,2018-12-14,10,Friday,False
150,1543246690.253,2018-11-26,15,Monday,False
151,1545114613.808,2018-12-18,6,Tuesday,False
152,1543637877.76,2018-12-01,4,Saturday,True
153,1545134109.377,2018-12-18,11,Tuesday,False
154,1545072610.662,2018-12-17,18,Monday,False
155,1544879109.323,2018-12-15,13,Saturday,True
156,1545046211.951,2018-12-17,11,Monday,False
157,1543320922.386,2018-11-27,12,Tuesday,False
158,1543275374.692,2018-11-26,23,Monday,False
159,1544678403.606,2018-12-13,5,Thursday,False
160,1544972111.793,2018-12-16,14,Sunday,True
161,1544701809.288,2018-12-13,11,Thursday,False
162,1544853606.131,2018-12-15,6,Saturday,True
163,1543435147.68,2018-11-28,19,Wednesday,False
164,1544968503.617,2018-12-16,13,Sunday,True
165,1543584477.278,2018-11-30,13,Friday,False
166,1543286722.302,2018-11-27,2,Tuesday,False
167,1543434068.391,2018-11-28,19,Wednesday,False
168,1543327222.288,2018-11-27,14,Tuesday,False
169,1543892876.087,2018-12-04,3,Tuesday,False
170,1543326142.541,2018-11-27,13,Tuesday,False
171,1543210587.826,2018-11-26,5,Monday,False
172,1543457648.155,2018-11-29,2,Thursday,False
173,1543513683.004,2018-11-29,17,Thursday,False
174,1543271170.503,2018-11-26,22,Monday,False
175,1543323623.851,2018-11-27,13,Tuesday,False
176,1543752483.283,2018-12-02,12,Sunday,True
177,1544919913.115,2018-12-16,0,Sunday,True
178,1543730276.358,2018-12-02,5,Sunday,True
179,1543672380.001,2018-12-01,13,Saturday,True
180,1543458908.886,2018-11-29,2,Thursday,False
181,1545132904.042,2018-12-18,11,Tuesday,False
